"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"BG","60",1000,100,TRUE,15272.518828076,967.039018958454,4.62059819905098e-14,TRUE
"BG","61",1000,100,TRUE,872678.332307677,8429.43516896067,1.20088338553021e-22,TRUE
"BG","62",1000,100,TRUE,2664.37397009304,674.832504451592,1.07321944388367e-07,TRUE
"BG","63",1000,500,TRUE,526658.344729232,18372.8288240798,8.71940402005674e-17,TRUE
"BG","64",1000,500,TRUE,324993.477924328,45402.4169265955,1.94968557017477e-10,TRUE
"BG","65",1000,500,TRUE,20941782.4957325,1925205.04492308,2.35003880134015e-12,TRUE
"BG","66",1000,500,TRUE,53824103.672578,1272742.53253177,1.46191381066797e-18,TRUE
"BG","67",1000,500,TRUE,7341356.18550318,287167.045903306,2.90618573481387e-16,TRUE
"BG","68",1000,500,TRUE,2299075.86497049,183421.287750457,5.27236807830096e-13,TRUE
"BG","69",1000,100,TRUE,24918.8280017006,2192.35982001127,1.47873309450665e-12,TRUE
"BG","70",1000,100,TRUE,428918.078503177,97512.7911188615,3.40002713476171e-08,TRUE
"BG","71",1000,100,TRUE,206006.96520172,52740.211651441,1.20314615062203e-07,TRUE
"BG","72",1000,100,TRUE,915169.047753295,293815.191373963,1.34962619130679e-06,TRUE
"BG","73",1000,100,TRUE,41885.6174937122,1772.21863993259,6.63696080381339e-16,TRUE
"BG","74",1000,500,TRUE,2214.83682721098,470.590949294304,1.6566584714107e-08,TRUE
"BG","75",1000,50,TRUE,172903.812431629,54109.5108109642,1.02647272018736e-06,TRUE
"BG","76",1000,100,TRUE,315633.175977156,20615.3636283518,6.40628997718832e-14,TRUE
"BG","77",1000,100,TRUE,25689.7812814134,776.654521016056,1.93486127467844e-17,TRUE
"BG","78",1000,100,TRUE,341344.363863633,74107.7476664381,2.08331299387721e-08,TRUE
"BG","79",1000,500,TRUE,99413.9774799617,10567.8301153394,1.08767530960079e-11,TRUE
"BG","80",1000,1000,FALSE,2048919.06559727,1316148.45290059,0.00257829800066337,TRUE
"BG","81",1000,500,TRUE,1338769.74170967,539662.977279452,1.55809642565968e-05,TRUE
"BG","82",1000,500,TRUE,182898.177986584,19243.2798701011,9.75751568231799e-12,TRUE
"BG","83",1000,500,TRUE,1114862.01796749,286988.479713324,1.2755876441351e-07,TRUE
"BG","84",1000,500,TRUE,2874.12296116693,648.987354253306,3.1626695076014e-08,TRUE
"BG","85",1000,500,TRUE,29381.5101098175,7721.15718150933,1.58944090440506e-07,TRUE
"BG","86",1000,500,TRUE,12948.1997756072,1131.96966413116,1.382935526588e-12,TRUE
"BG","87",1000,100,TRUE,15813.6805369516,2758.03349628681,2.04088899947214e-09,TRUE
"BG","88",1000,100,TRUE,336559.729375573,16566.9495284038,3.2624562909809e-15,TRUE
"BG","89",1000,100,TRUE,85744.7642547573,13162.3439439068,5.28207118120387e-10,TRUE
"BG","90",1000,500,TRUE,24689.5769198452,5299.09528496108,1.84425733306476e-08,TRUE
"BG","91",1000,100,TRUE,67571.6375428807,7937.86013101001,3.12375104087381e-11,TRUE
"BG","92",1000,500,TRUE,6076523.36234799,1183051.03099039,6.55205299900135e-09,TRUE
"BG","93",1000,500,TRUE,2131210.48100847,594303.922200192,2.99311569266096e-07,TRUE
"BG","94",1000,500,TRUE,36677273.1890944,2999328.29450563,6.84075260020988e-13,TRUE
"BG","95",1000,500,TRUE,9967816.13994724,1628020.0406633,1.01834261839557e-09,TRUE
"BG","96",1000,500,TRUE,23857824.6627121,1537759.09025293,5.5723834924485e-14,TRUE
"BG","97",1000,500,TRUE,5863683.2898907,316050.081218275,8.47755299818805e-15,TRUE
"BG","98",1000,500,TRUE,16488691.7494021,606915.477252824,1.53277358054535e-16,TRUE
"BG","99",1000,100,TRUE,22535314.8665411,1483219.26368047,6.9456551140716e-14,TRUE
"BG","100",1000,100,TRUE,182203.640805167,9408.60909046736,5.39908703584921e-15,TRUE
"BG","101",1000,100,TRUE,308993.340673594,14901.8894850542,2.63033932691566e-15,TRUE
"BG","102",1000,500,TRUE,29808.1603222664,8397.9373180639,3.33943606546587e-07,TRUE
"BG","103",1000,500,TRUE,1726987.61084363,214287.918883569,5.56840456406595e-11,TRUE
"BG","104",1000,500,TRUE,17470392.9772181,1108623.42205976,4.72804760998495e-14,TRUE
"BG","105",1000,500,TRUE,13430689.8452255,598542.792479751,1.14591455951681e-15,TRUE
"BG","106",1000,500,TRUE,15800669.8787636,2571954.68992074,9.82448510927426e-10,TRUE
"BG","107",1000,500,TRUE,18527094.865743,9495769.54956093,0.000211673644971106,TRUE
"BG","108",1000,100,TRUE,151156.264896412,3963.1616500644,4.32901045274308e-18,TRUE
"BG","109",1000,100,TRUE,25027.8396381268,3171.84188472742,6.96164856798838e-11,TRUE
"BG","110",1000,100,TRUE,9263.64626901098,797.329896086174,1.17336390399642e-12,TRUE
"BG","111",1000,100,TRUE,22247.8569122177,1308.56578028554,2.12559191907445e-14,TRUE
"BG","112",1000,500,TRUE,4513.8163809493,785.216417597734,1.985828074219e-09,TRUE
"BG","113",1000,500,TRUE,7602.61161718412,1150.36825753404,4.53582979596612e-10,TRUE
"BG","114",1000,100,TRUE,1064.6292803903,472.196326379849,4.38159717945818e-05,TRUE
"BG","115",1000,500,TRUE,8112536.88228084,740677.207066601,2.18540700993011e-12,TRUE
"BG","116",1000,500,TRUE,123339.489534095,95580.4779406837,0.0221854513005627,TRUE
"BG","117",1000,500,TRUE,654799.460238583,313181.041909868,9.94714359743122e-05,TRUE
"BG","118",1000,1000,FALSE,681231.77573103,655001.103522477,0.369528448548638,FALSE
"BG","119",1000,500,TRUE,14738.9159662081,2675.3194701939,3.11611148453008e-09,TRUE
"BG","120",1000,500,TRUE,2045.07278108547,897.414538151882,3.90238991206039e-05,TRUE
"BG","121",1000,100,TRUE,9972.19177659829,1716.69130167411,1.77747425367518e-09,TRUE
"BG","122",1000,100,TRUE,8452.08382646685,642.759117475141,3.18186915886574e-13,TRUE
