"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"NAG","51",1000,500,TRUE,1848145.15991556,37393.2961632596,2.83999220897605e-19,TRUE
"NAG","52",1000,500,TRUE,3384722.38518628,241196.629832502,1.60392139395141e-13,TRUE
"NAG","53",1000,500,TRUE,1715737.40489252,13217.6858047679,1.11581807002151e-23,TRUE
"NAG","54",1000,1000,FALSE,7057757.63654848,425563.538889065,2.76114004091381e-14,TRUE
"NAG","55",1000,500,TRUE,9425.13510454357,2382.61921093057,1.05149766002023e-07,TRUE
"NAG","56",1000,500,TRUE,43023776.6079197,6211837.99131426,2.76222338795797e-10,TRUE
"NAG","57",1000,500,TRUE,32159681.5098499,7899205.14633475,7.74031624505008e-08,TRUE
"NAG","58",1000,500,TRUE,20842633.2151721,1175070.60339663,1.36085249302597e-14,TRUE
"NAG","59",1000,500,TRUE,14507.0243673182,1565.35973162234,1.27372309304151e-11,TRUE
"NAG","60",1000,500,TRUE,2847.10690614442,407.162841345969,2.49688847884649e-10,TRUE
"NAG","61",1000,500,TRUE,114862.065048908,3597.44991433428,2.80578127004199e-17,TRUE
"NAG","62",1000,500,TRUE,2781.07329779577,621.532068984763,2.83423627432844e-08,TRUE
"NAG","63",1000,500,TRUE,219086.963761239,37529.1854035053,1.68670334666251e-09,TRUE
"NAG","64",1000,500,TRUE,51907.3586904355,7135.06900720476,1.64280404644018e-10,TRUE
"NAG","65",1000,500,TRUE,7248245.9665567,1063426.21701283,3.27267832142451e-10,TRUE
"NAG","66",1000,500,TRUE,28550378.5870402,1471721.60024404,5.30125335656454e-15,TRUE
"NAG","67",1000,500,TRUE,107373.260764255,3601.90797027861,5.77565538207441e-17,TRUE
"NAG","68",1000,500,TRUE,698677.87246838,128077.948940677,3.45986221009279e-09,TRUE
"NAG","69",1000,500,TRUE,45072.9738977366,849.918197382,1.35448221896555e-19,TRUE
"NAG","70",1000,500,TRUE,1391821.94108164,100064.988589443,1.76094524058008e-13,TRUE
"NAG","71",1000,500,TRUE,343649.141075025,2338.21181733756,3.02751031663711e-24,TRUE
"NAG","72",1000,500,TRUE,232569.893731056,33192.5894916628,2.44414905882435e-10,TRUE
"NAG","73",1000,500,TRUE,10302.1479588729,449.920622566167,9.261591836051e-16,TRUE
"NAG","74",1000,500,TRUE,4471.59869472494,445.923762932138,5.54347161020014e-12,TRUE
"NAG","75",1000,500,TRUE,1776458.7420355,42959.8757871228,1.85073407374286e-18,TRUE
"NAG","76",1000,500,TRUE,4048.78069172593,1254.69502855156,9.24311510261946e-07,TRUE
"NAG","77",1000,500,TRUE,1869.41720803662,343.864788924615,3.58749815333135e-09,TRUE
"NAG","78",1000,500,TRUE,61121.1808497299,5496.27939956345,1.86202136339683e-12,TRUE
"NAG","79",1000,500,TRUE,3938.45672259451,1576.24475621055,1.44188721155237e-05,TRUE
"NAG","80",1000,500,TRUE,10719259.3250654,918974.899619591,1.125456813153e-12,TRUE
"NAG","81",1000,500,TRUE,1668763.87348963,66785.8596673592,3.69648109944489e-16,TRUE
"NAG","82",1000,500,TRUE,668332.105653571,56795.239411393,1.0258054882231e-12,TRUE
"NAG","83",1000,500,TRUE,962648.103329602,82126.7408993099,1.0689552772237e-12,TRUE
"NAG","84",1000,100,TRUE,5531.78594673065,532.579012282554,3.82471909937265e-12,TRUE
"NAG","85",1000,500,TRUE,10508.7980426834,426.958767200956,4.33129556221015e-16,TRUE
"NAG","86",1000,500,TRUE,13292.1911400433,816.843708028889,3.37210245989393e-14,TRUE
"NAG","87",1000,500,TRUE,6433.07350935585,164.577388303129,3.34416453329277e-18,TRUE
"NAG","88",1000,500,TRUE,27190.990152205,18127.3975692631,0.00391839589672724,TRUE
"NAG","89",1000,500,TRUE,8619.54867319164,2128.02278373629,8.17321602323134e-08,TRUE
"NAG","90",1000,500,TRUE,3094.36015317077,1106.21350715151,4.27617956831473e-06,TRUE
"NAG","91",1000,500,TRUE,43099.0868614987,1370.29803056521,3.28627112000263e-17,TRUE
