"Enzyme","sample","RMSE","RMSEp1","RMSEp2","MAPE","MAPEp1","MAPEp2","biasPERCENT","biasPERCENTp1","biasPERCENTp2","biasMEANRES","biasMEANRESp1","biasMEANRESp2","Rsquared","PRSEmax","PRSE_Vmax","PRSE_Km","PRSE_Ki","RMSEp1pdS","MAPEp1pdS","biasPERCENTp1pdS","biasMEANRESp1pdS","Sinhibition","INHbetter_aov_pvalue"
"AP","23",302069.544281242,292904.296921888,352085.932897226,4.45078169723126,4.87757795201007,1.89000416855837,-2.76294856333108,-3.39316582333392,1.01835499668594,-52242.2723395553,-84423.170622499,173024.015641051,0.998271821292937,30.0734153222905,2.22379631880583,4.92298730579129,30.0734153222905,NA,NA,NA,NA,TRUE,0.00180748693946949
"AP","24",279580.029021684,279580.029021684,NA,7.9776168566487,7.9776168566487,NA,-6.23439443360489,-6.23439443360489,NA,-62464.9446254095,-62464.9446254095,NA,0.997871770356222,27.4849400611758,4.00760502638692,6.99510066964919,27.4849400611758,NA,NA,NA,NA,FALSE,0.000422137864584558
"AP","25",386446.765172571,404487.895333301,252438.054499379,4.40087652511638,4.86314995996535,1.62723591602252,-1.89574245555802,-2.48290551748811,1.62723591602252,-40925.0083782345,-79828.8190855546,231401.666573007,0.995432753559597,46.7684715836405,2.90366634707155,7.1152358975946,46.7684715836405,NA,NA,NA,NA,TRUE,0.0331345679655552
"AP","26",155563.364854173,155563.364854173,NA,7.52719088493799,7.52719088493799,NA,-5.92478619266661,-5.92478619266661,NA,-37368.9232125999,-37368.9232125999,NA,0.998637841258802,18.9685412527916,3.64329896358508,6.03785080459936,18.9685412527916,NA,NA,NA,NA,FALSE,2.44224994494369e-06
"AP","27",179595.667074511,186442.27406958,131216.980845285,5.49608682344186,6.09955149050525,1.87529882106148,-2.45613342315866,-3.17803879719535,1.87529882106148,-22364.8983925155,-41391.2869216428,110819.821311376,0.993968618967716,35140.0630686465,2.70421649537885,7.59246642408117,35140.0630686465,NA,NA,NA,NA,TRUE,1
"AP","28",272583.882555705,272583.882555705,NA,5.98436907774067,5.98436907774067,NA,-4.88862098096577,-4.88862098096577,NA,-60437.1731697876,-60437.1731697876,NA,0.99911617886083,18.389697078992,2.89297312114274,4.84483912913255,18.389697078992,NA,NA,NA,NA,FALSE,2.72804996094339e-06
"AP","29",219483.739790273,232515.436196169,113274.956673141,10.663867279277,12.2419306230194,1.19548721682252,-7.96103867828204,-9.38817584900918,0.601784346080784,-49828.8621350675,-63980.2735642131,49231.0178689519,0.996484586122722,22.3294468920562,6.2597576529488,9.89940757827058,22.3294468920562,NA,NA,NA,NA,TRUE,5.08889350123996e-06
"AP","30",131639.540522058,131639.540522058,NA,4.14925502090619,4.14925502090619,NA,-2.29534690380876,-2.29534690380876,NA,-11263.7767088035,-11263.7767088035,NA,0.99902806371755,26.0558225015182,2.75156741637823,4.74214840429094,26.0558225015182,NA,NA,NA,NA,FALSE,0.000353897159658467
"AP","31",24312.2680834714,18439.9333484852,34910.2345026154,9.11485186629647,6.91659035060145,14.610505655534,0.508250353288281,-0.99529082666494,4.26710330317133,-394.817231565795,-2162.64674430924,4908.67130666453,0.928091536479474,29.1854921263545,5.48609986212413,20.1035207057226,29.1854921263545,NA,NA,NA,NA,TRUE,0.000376156770820226
"AP","32",160924.7256015,160924.7256015,NA,3.65003347430832,3.65003347430832,NA,-2.6229667510347,-2.6229667510347,NA,-23288.1651708387,-23288.1651708387,NA,0.999257498324008,16.3475197470951,2.40647173722543,4.12423599744788,16.3475197470951,NA,NA,NA,NA,FALSE,5.43569907043755e-07
