"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","Ki","Ki_se","Rmax","SRmax","SRmax05","SRmax05highS","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"NAG","29",22776.4809079013,2118.32252003146,462.622983813688,50.7297320374336,256.625363846059,31.8615410021164,6180.34971145825,344.55883611473,76.189577622729,1559.64738579374,500,TRUE,4.29362566867224e-20
"NAG","30",7835.0137413029,529.832353581929,341.73438717222,29.9180288918455,595.494979498515,68.5584714499671,3115.21573572506,451.110975130354,88.0656689123363,2312.35482652994,500,TRUE,1.11701057630038e-15
"NAG","31",509.217508053633,50.6301878753165,300.173556617605,39.8014390064687,716.522243395141,131.057492048649,221.929814453267,463.768293650552,86.5941998445425,2488.42931607043,500,TRUE,6.64066839730226e-11
"NAG","32",9559.93946411843,593.746411630021,292.572629745818,23.4871959132498,497.591531908916,50.1659196082863,3773.27231661566,381.551651850495,74.7152849608231,1951.98816903408,500,TRUE,8.81275080440403e-18
"NAG","33",7327.34745119231,680.644978831785,381.525507721987,44.1348250630332,433.291672298497,61.6043144991763,2547.11059346348,406.585569425912,83.6836785557083,1978.51395623438,500,TRUE,1.49749399359194e-15
"NAG","34",18928.2777796316,708.71430331915,260.402867508604,13.7936383001341,1136.93258410966,96.9157271467615,9671.28743200168,544.114422769808,91.9101170175223,3223.94284120489,500,TRUE,1.90154551381776e-15
"NAG","35",15788.3887738552,2017.49662994776,469.07651264534,74.0788059883987,463.754901473609,91.0325289674663,5242.79966187987,466.408117323685,97.4890454251926,2232.34485458316,500,TRUE,2.04324623229299e-12
"NAG","36",17527.2196691527,1406.52997854822,283.658410035929,30.5293285259578,718.2132897453,106.636322908003,7766.05567797853,451.361540049466,83.5102359327445,2444.40445949028,500,TRUE,1.35699478811363e-12
"NAG","37",10109.1868045114,955.419787486928,399.110719838325,47.6016148651395,517.544780519867,78.5994655400737,3667.64398540135,454.486160297376,92.088104886737,2247.92920756931,500,TRUE,4.72014877091753e-14
"NAG","38",36728.5083187534,2107.85447683083,504.618662227621,37.3303811472011,737.595941406248,74.6016514240741,13837.5972817127,610.085794964072,121.846317886114,3060.2026469924,500,TRUE,5.10211749719509e-16
"NAG","39",47650.1643362025,2868.81731484314,457.388751749412,35.9676004047394,793.296915776256,87.4315848069461,18919.0051537925,602.366239154852,117.653891896132,3087.67588739316,500,TRUE,7.55346956562202e-15
"NAG","40",34106.0023776722,2857.40029841996,409.847830047917,44.279338308378,651.928423665024,94.3334470892421,13189.8608584042,516.905648823525,102.099075550201,2618.62885077658,500,TRUE,2.4871741254237e-13
"NAG","41",14022.157241621,1112.30955307213,332.818920238159,34.7051668326705,679.015629804072,96.2440474552761,5842.04697063222,475.38326509904,90.8072843623529,2493.76194668011,500,TRUE,2.65621156897977e-13
"NAG","42",9338.57975598797,752.235892380529,298.79477314614,32.8658649746487,904.14187138599,147.238276564467,4344.05848952319,519.762316210692,93.5145921455181,2892.72451713048,500,TRUE,6.86201523917822e-11
"NAG","43",11593.4227648684,459.965025197753,323.195324309738,17.3145753867694,864.409909595837,67.492398330519,5215.37212416367,528.557698901811,97.0000377522576,2883.59121900199,500,TRUE,2.16802953021975e-17
"NAG","44",2122.20377099799,205.414057869118,286.427245228413,36.6540265811801,624.862411271448,106.18408764315,901.499518357329,423.057465490522,80.0081675410119,2240.40359345944,500,TRUE,3.73388385364947e-12
"NAG","45",12833.6881070048,1207.08308669403,686.44198466107,74.7544677091896,274.916314027224,34.2807316514144,3084.78065641123,434.412361951814,98.6214683098928,1914.29196884931,500,TRUE,1.30538256197765e-19
"NAG","46",53124.8735822376,6831.35503264748,633.127447316818,99.9478392101866,502.658161789895,98.7134740918962,16373.3136297952,564.13356472293,120.623818519614,2643.72556161668,500,TRUE,2.67011839886421e-12
"NAG","47",57154.1245664709,2346.98004712892,436.805282152016,24.0994930649282,1041.15923957071,87.8692315833955,24899.0472581083,674.376642096878,125.918710950582,3618.48498321768,500,TRUE,4.23151792858769e-16
"NAG","48",10725.1245507223,842.064527038119,303.611175689514,31.8145054706899,729.886710074636,106.061437441102,4683.63403700419,470.745963515262,87.8029024858449,2525.86921544891,500,TRUE,1.11549263917727e-12
"NAG","49",50841.7412129479,3765.65546477604,450.741715731025,44.2073280771971,908.169535277833,130.006866274214,21104.9320438138,639.80457524605,122.406855930162,3349.89030374754,500,TRUE,3.97334371904914e-12
"NAG","50",37277.4461728172,2859.71396960166,469.204215299223,46.8335997333317,775.363437020744,107.644937485296,14585.3391825061,603.161498306239,118.533087725949,3073.67538435762,500,TRUE,4.98662978648814e-13
"NAG","51",14652.1387990233,387.892529312717,390.98917903959,14.1127112979868,1115.13974739677,63.4800700768323,6708.0506884195,660.308696254319,119.924051644949,3641.94922442205,500,TRUE,2.83999220897605e-19
"NAG","52",20974.8991268933,1271.24367830844,482.69815750432,38.7592947943007,966.922875776373,115.191352865657,8692.10863375919,683.177788416773,130.841630644877,3570.15886118545,500,TRUE,1.60392139395141e-13
"NAG","53",16291.1109135955,394.576251676945,585.236098561216,18.182765933435,779.28475359581,33.3157818002652,5960.46391164514,675.326268452998,136.429549182424,3346.97071594827,500,TRUE,1.11581807002151e-23
"NAG","54",33732.5710947798,1376.09447497948,437.255427845981,24.4604876181143,1344.202820445,126.96221429963,15757.8499833032,766.65505891858,137.551672737267,4274.45902663551,1000,FALSE,2.76114004091381e-14
"NAG","55",563.903616870763,53.0039292048042,165.782574989587,23.3732665435119,1131.54990786408,251.913288871538,319.396108588091,433.118064106009,67.0966977998008,2799.92838705845,500,TRUE,1.05149766002023e-07
"NAG","56",69494.7296035882,17342.9096707834,723.15429227803,211.028499118695,315.362601168584,106.735626206863,17250.3882213665,477.5519015343,107.698723668351,2118.70407579276,500,TRUE,2.76222338795797e-10
"NAG","57",43549.784239924,6473.30040979194,370.744981328726,72.5281530051263,744.529827481783,202.481544322682,18060.5312854717,525.386236009674,100.568982470499,2745.56983238824,500,TRUE,7.74031624505008e-08
"NAG","58",39453.0754618142,2970.48235358842,406.688301569033,39.3225004959174,623.016427087068,79.8423908690038,15082.1002070155,503.362188271673,99.9273871106381,2539.96079989556,500,TRUE,1.36085249302597e-14
"NAG","59",480.836391059217,95.5793808713367,170.418543454705,46.2226978604798,301.658532820354,87.0356052371514,192.085005355627,226.733781743983,44.1494822537789,1164.48233779321,500,TRUE,1.27372309304151e-11
"NAG","60",430.72405773169,278.025787812951,505.19796574322,370.357034431226,117.032796990843,88.5347713765457,83.5490403483595,243.155775101092,57.293229936811,1032.62968264964,500,TRUE,2.49688847884649e-10
"NAG","61",1698.55543590416,251.755786406517,232.427662323833,43.7668093717793,200.051031227261,38.7393784584608,538.237116785457,215.632542844591,45.7402363609739,1016.99146275629,500,TRUE,2.80578127004199e-17
"NAG","62",217.144216900073,37.4044382849048,146.295076702204,36.6075470688836,546.101946653438,164.627219247413,106.696322639884,282.651775463887,49.1015235504322,1629.56596459956,500,TRUE,2.83423627432844e-08
"NAG","63",3512.52695388243,401.720051412968,324.832040904434,49.4629711539165,755.246315946759,160.978573955349,1519.49473806109,495.306170155936,92.8296592531477,2647.75495298191,500,TRUE,1.68670334666251e-09
"NAG","64",2066.48135346395,136.602794999182,312.930817572282,28.9043874319774,1194.71476981337,180.416533414578,1021.20041673574,611.44343130283,105.790292644654,3537.35791235225,500,TRUE,1.64280404644018e-10
"NAG","65",23392.3682708253,2151.80706308363,367.301346557588,45.3119697378763,890.892374616806,161.0541588079,10240.9991787536,572.036684867885,106.523883110711,3075.07687431139,500,TRUE,3.27267832142451e-10
